1	100 
2	100 
3	100 
4	200 
5	200 
6	300 
7	300 
8	400 
9	500 
10	600 
11	900 
12	1200 
13	2000 
14	2700 
15	4200 
16	6700 
17	11200 
18	17700 
19	35200 
20	45700 
21	73300 
22	118500 
23	191700 
24	312900 
25	511600 
26	835700 
27	1457000 
28	2171500 
29	3610300 
30	5764200 
31	9406200 
32	15062100 
33	25573800 
34	39600300 
35	65040000 
36	104279600 
37	181126800 
38	264905700 
39	428169200 
40	707891900 
41	1134719300 
42	1821937000 
43	2944877400 
44	4719127600 
